"Time_point","gene","cell_line","guide","replicate","value","biotype"
42,"RPS16","A549","g2","R2",1.38299,"CEG"
48,"RPS16","A549","g2","R2",1.416106,"CEG"
54,"RPS16","A549","g2","R2",1.535061,"CEG"
60,"RPS16","A549","g2","R2",1.648114,"CEG"
66,"RPS16","A549","g2","R2",1.626419,"CEG"
72,"RPS16","A549","g2","R2",1.617708,"CEG"
78,"RPS16","A549","g2","R2",1.73564,"CEG"
84,"RPS16","A549","g2","R2",1.93002,"CEG"
90,"RPS16","A549","g2","R2",1.978322,"CEG"
0,"RPS16","A549","g3","R1",0.4921135,"CEG"
6,"RPS16","A549","g3","R1",0.7741449,"CEG"
12,"RPS16","A549","g3","R1",1,"CEG"
18,"RPS16","A549","g3","R1",1.139811,"CEG"
24,"RPS16","A549","g3","R1",1.203185,"CEG"
30,"RPS16","A549","g3","R1",1.209928,"CEG"
36,"RPS16","A549","g3","R1",1.218659,"CEG"
42,"RPS16","A549","g3","R1",1.190659,"CEG"
48,"RPS16","A549","g3","R1",1.228217,"CEG"
54,"RPS16","A549","g3","R1",1.294728,"CEG"
60,"RPS16","A549","g3","R1",1.30292,"CEG"
66,"RPS16","A549","g3","R1",1.26213,"CEG"
72,"RPS16","A549","g3","R1",1.244431,"CEG"
78,"RPS16","A549","g3","R1",1.340701,"CEG"
84,"RPS16","A549","g3","R1",1.466846,"CEG"
90,"RPS16","A549","g3","R1",1.568826,"CEG"
0,"RPS16","A549","g3","R2",0.5365256,"CEG"
6,"RPS16","A549","g3","R2",0.7774495,"CEG"
12,"RPS16","A549","g3","R2",1,"CEG"
18,"RPS16","A549","g3","R2",1.115229,"CEG"
24,"RPS16","A549","g3","R2",1.148355,"CEG"
30,"RPS16","A549","g3","R2",1.185578,"CEG"
36,"RPS16","A549","g3","R2",1.162571,"CEG"
42,"RPS16","A549","g3","R2",1.175167,"CEG"
48,"RPS16","A549","g3","R2",1.210563,"CEG"
54,"RPS16","A549","g3","R2",1.260354,"CEG"
60,"RPS16","A549","g3","R2",1.245038,"CEG"
66,"RPS16","A549","g3","R2",1.156832,"CEG"
72,"RPS16","A549","g3","R2",1.149504,"CEG"
78,"RPS16","A549","g3","R2",1.268489,"CEG"
84,"RPS16","A549","g3","R2",1.392726,"CEG"
90,"RPS16","A549","g3","R2",1.502042,"CEG"
0,"PPIA.TR2","A549","g1","R1",0.3189405,"Protein-coding gene"
6,"PPIA.TR2","A549","g1","R1",0.6255541,"Protein-coding gene"
12,"PPIA.TR2","A549","g1","R1",1,"Protein-coding gene"
18,"PPIA.TR2","A549","g1","R1",1.310735,"Protein-coding gene"
24,"PPIA.TR2","A549","g1","R1",1.723363,"Protein-coding gene"
30,"PPIA.TR2","A549","g1","R1",2.057407,"Protein-coding gene"
36,"PPIA.TR2","A549","g1","R1",2.434675,"Protein-coding gene"
42,"PPIA.TR2","A549","g1","R1",2.861708,"Protein-coding gene"
48,"PPIA.TR2","A549","g1","R1",3.253135,"Protein-coding gene"
54,"PPIA.TR2","A549","g1","R1",3.605928,"Protein-coding gene"
60,"PPIA.TR2","A549","g1","R1",4.011115,"Protein-coding gene"
66,"PPIA.TR2","A549","g1","R1",4.380081,"Protein-coding gene"
72,"PPIA.TR2","A549","g1","R1",4.694841,"Protein-coding gene"
78,"PPIA.TR2","A549","g1","R1",4.998714,"Protein-coding gene"
84,"PPIA.TR2","A549","g1","R1",5.184711,"Protein-coding gene"
90,"PPIA.TR2","A549","g1","R1",5.38345,"Protein-coding gene"
0,"PPIA.TR2","A549","g1","R2",0.3088456,"Protein-coding gene"
6,"PPIA.TR2","A549","g1","R2",0.624808,"Protein-coding gene"
12,"PPIA.TR2","A549","g1","R2",1,"Protein-coding gene"
18,"PPIA.TR2","A549","g1","R2",1.428493,"Protein-coding gene"
24,"PPIA.TR2","A549","g1","R2",1.877736,"Protein-coding gene"
30,"PPIA.TR2","A549","g1","R2",2.414655,"Protein-coding gene"
