"Time_point","gene","cell_line","guide","replicate","value","biotype"
12,"GAPDH","H1299","g3","R2",1,"CEG"
18,"GAPDH","H1299","g3","R2",1.248701,"CEG"
24,"GAPDH","H1299","g3","R2",1.475694,"CEG"
30,"GAPDH","H1299","g3","R2",1.70267,"CEG"
36,"GAPDH","H1299","g3","R2",1.839701,"CEG"
42,"GAPDH","H1299","g3","R2",1.955939,"CEG"
48,"GAPDH","H1299","g3","R2",2.07529,"CEG"
54,"GAPDH","H1299","g3","R2",2.1229,"CEG"
60,"GAPDH","H1299","g3","R2",2.219117,"CEG"
66,"GAPDH","H1299","g3","R2",2.195034,"CEG"
72,"GAPDH","H1299","g3","R2",2.242341,"CEG"
78,"GAPDH","H1299","g3","R2",2.334618,"CEG"
84,"GAPDH","H1299","g3","R2",2.40029,"CEG"
90,"GAPDH","H1299","g3","R2",2.4859,"CEG"
0,"ZFAS1","H1299","g1","R1",0.6621366,"LncRNA"
6,"ZFAS1","H1299","g1","R1",0.7075835,"LncRNA"
12,"ZFAS1","H1299","g1","R1",1,"LncRNA"
18,"ZFAS1","H1299","g1","R1",1.430487,"LncRNA"
24,"ZFAS1","H1299","g1","R1",1.929737,"LncRNA"
30,"ZFAS1","H1299","g1","R1",2.68281,"LncRNA"
36,"ZFAS1","H1299","g1","R1",3.323656,"LncRNA"
42,"ZFAS1","H1299","g1","R1",4.100379,"LncRNA"
48,"ZFAS1","H1299","g1","R1",5.019755,"LncRNA"
54,"ZFAS1","H1299","g1","R1",5.891875,"LncRNA"
60,"ZFAS1","H1299","g1","R1",7.018498,"LncRNA"
66,"ZFAS1","H1299","g1","R1",8.429849,"LncRNA"
72,"ZFAS1","H1299","g1","R1",9.630684,"LncRNA"
78,"ZFAS1","H1299","g1","R1",10.87309,"LncRNA"
84,"ZFAS1","H1299","g1","R1",11.95801,"LncRNA"
90,"ZFAS1","H1299","g1","R1",13.19694,"LncRNA"
0,"ZFAS1","H1299","g1","R2",0.7145508,"LncRNA"
6,"ZFAS1","H1299","g1","R2",0.6950537,"LncRNA"
12,"ZFAS1","H1299","g1","R2",1,"LncRNA"
18,"ZFAS1","H1299","g1","R2",1.408773,"LncRNA"
24,"ZFAS1","H1299","g1","R2",1.92899,"LncRNA"
30,"ZFAS1","H1299","g1","R2",2.613104,"LncRNA"
36,"ZFAS1","H1299","g1","R2",3.307475,"LncRNA"
42,"ZFAS1","H1299","g1","R2",4.287047,"LncRNA"
48,"ZFAS1","H1299","g1","R2",5.226257,"LncRNA"
54,"ZFAS1","H1299","g1","R2",6.546858,"LncRNA"
60,"ZFAS1","H1299","g1","R2",8.042707,"LncRNA"
66,"ZFAS1","H1299","g1","R2",9.691024,"LncRNA"
72,"ZFAS1","H1299","g1","R2",11.72351,"LncRNA"
